depth_m,age,sed_rates,aragonite,lmc,hmc,water,TGA_orgstof,TGA_totalorg,TGA_CaCO3,Flash_TC,Flash_TOC,Flash_TN,Flash_CaCO3,s_500,s_355-500,s_250-355,s_125-250,s_63-125,s_63,l_63,l_63-125,l_125_250,l_250_500,l_500,d18O_pl,d13C_pl,d13C_bulk,d18O_bulk,L*,a*,b*,mean,sorting,skewness,kurtosis,median
12.21,,25.83,69.62,20.2,10.18,34.67,,,,,,,,2.67,3.48,4.34,5.56,6.87,77.23,65.5,15.81,7.54,10.02,1.14,-1.784,0.887,0.794033209,-1.477717158,52.512,0.3629,12.8526,42.33,3.56,0.066,1.085,41.07
12.26,,25.83,66.84,22.64,10.52,33.48,,,,,,,,5.34,7.08,7.21,7.29,7.25,66.33,,,,,,-1.449,0.627,0.580200792,-1.313166383,51.7623,0.4068,12.7105,,,,,
12.31,,25.83,65.9,22.53,11.58,30.3,,,,,,,,4.86,8.03,8.38,8.16,7.29,63.93,44.93,11.32,7.56,18.72,17.47,-1.164,0.735,0.87889191,-1.322243745,50.666,0.5774,12.5962,89.91,4.793,0.051,0.732,79.49
12.36,,25.83,61.27,26.99,11.74,35.38,0.53,2.46,94.19,11.29,0.33,0.04,91.33,6.39,8.93,10.02,10.46,7.7,55.41,,,,,,-0.952,0.557,,,51.4412,0.5292,12.4602,,,,,
12.41,,25.83,63.54,24.55,11.92,33.66,,,,,,,,4.81,8.64,9.36,9.78,7.5,59.95,43.68,13.27,9.38,20.22,13.45,-1.691,0.737,0.937500596,-1.122752536,51.5836,0.3156,12.3574,88.44,4.462,-0.006,0.735,82.86
12.46,,25.83,64.83,23.3,11.86,32.62,,,,,,,,3.51,7.44,8.25,8.75,7.19,64.78,,,,,,-1.33,0.849,0.589450784,-1.597275174,,,,,,,,
12.51,242.00,5.13,60.29,27.44,12.27,33.2,,,,,,,,5.42,8.67,9.64,9.96,7.65,58.99,51.68,15.43,11.38,21.21,0.3,-1.388,0.755,0.566146126,-1.894858599,,,,61.62,4.067,-0.005,0.744,58.79
12.56,,5.13,52.94,34.23,12.83,38.46,0.51,2.24,93.85,11.17,0.23,0.03,91.14,10.12,15.38,16.13,13.53,4.85,39.99,,,,,,-1.6,1.176,,,46.7813,0.5975,8.7815,,,,,
12.61,,5.13,58.25,29,12.74,35.38,,,,,,,,11.59,11.51,11.59,10.7,7.27,47.64,30.97,8.71,8.87,25.13,26.32,-1.856,0.172,0.801331244,-1.114071582,49.2872,0.3866,8.3324,158.7,4.483,-0.494,0.757,266
12.66,,5.13,59.92,28.24,11.84,36.26,,,,,,,,6.31,11.26,12.08,12.37,8.83,49.93,,,,,,-0.952,0.721,0.827374327,-1.244945876,46.932,0.5516,9.3437,,,,,
12.71,,5.13,47.85,37.77,14.38,39.21,,,,,,,,8.98,16.63,17.49,16.71,8.35,32.39,17.41,1.1,5.96,35.64,39.89,-1.12,0.428,0.874249426,-0.483336186,48.9384,0.5014,11.5697,265.2,4.198,-0.5,1.951,421.8
12.76,,5.13,46.05,41.14,12.81,40.5,0.47,2.09,94.9,11.12,0.2,0.03,90.98,12.57,18.07,22.29,20.83,8.53,16.06,,,,,,-1.165,0.371,,,50.165,0.5229,6.6046,,,,,
12.81,,5.13,53.42,33.88,12.7,36.94,,,,,,,,11.42,13.91,16.81,16.35,8.61,33.99,18.75,6.96,11.72,35.51,27.06,-1.206,0.841,0.72528434,-0.772586935,51.8602,1.1074,11.2036,215.7,3.605,-0.559,1.176,343
12.86,,5.13,54.9,32.11,12.99,36.59,,,,,,,,9.1,14.94,16.68,14.63,7.85,37.49,,,,,,-1.358,0.625,0.53246986,-1.230497586,53.2439,1.3358,12.7015,,,,,
12.91,,5.13,46.41,39.44,14.15,39.17,,,,,,,,9.12,18.52,20.08,15.6,7.5,29.88,16.66,8.72,12.06,32.76,29.8,-1.045,0.363,0.666879312,-0.761069717,52.652,1.1135,12.904,238.8,3.435,-0.483,1.122,344.1
12.96,,5.13,51.73,34.8,13.47,37.34,0.5,2.25,94.15,11.31,0.22,0.04,92.37,8.76,15.94,17.13,14.47,7.63,34.88,,,,,,-1.631,0.812,,,52.0817,0.9943,12.1643,,,,,
13.01,,5.13,45.95,40.39,13.67,39.11,,,,,,,,8.29,18.92,20.87,16.28,7.44,29.03,17.58,10.3,14.92,37.96,19.23,-1.361,0.374,0.922,-0.4205,51.9169,0.9121,12.2268,206.1,3.163,-0.525,1.071,297.7
13.06,,5.13,48.72,37.79,13.49,38.15,,,,,,,,7.4,16.91,18.21,14.99,7.98,35.22,,,,,,-1.027,0.882,0.66640451,-0.85388862,51.9997,0.8921,12.4613,,,,,
13.11,,5.13,48.09,38.48,13.43,35.58,,,,,,,,8.55,14.85,17.77,15.05,8.09,36.35,29.94,14.01,16.23,36.48,3.34,-1.229,0.96,0.129866503,-1.284403472,53.2043,0.678,12.8028,121.1,3.579,-0.432,0.847,170.3
13.16,,5.13,51.41,36.49,12.1,38.73,0.45,2.1,94.69,11.18,0.17,0.03,91.7,7.6,17.25,19.9,15.8,6.88,31.97,,,,,,-0.995,0.799,,,52.3099,1.2029,12.0572,,,,,
13.21,,5.13,53.2,35.47,11.33,37.38,,,,,,,,7.79,16.85,17.52,14.59,8.33,35.45,22.01,2.32,6.16,40.02,29.49,-1.182,0.293,0.820577047,-0.767543934,51.1243,1.0852,11.5726,203.2,3.985,-0.634,1.551,373.6
13.26,,5.13,48.59,40.28,11.13,40.28,,,,,,,,10.31,20.48,19.95,9.19,6.99,28.78,,,,,,-1.607,1.043,0.790101332,-0.685189207,53.5008,1.0513,11.5774,,,,,
13.31,,5.13,48.08,39.72,12.2,38.54,,,,,,,,7.88,18.02,18.57,14.32,7.66,34.29,23.61,0.91,5.8,45.63,24.05,-1.151,0.473,0.910323664,-0.183721593,52.2763,1.1636,11.9205,181.2,4.063,-0.692,1.757,361
13.36,,5.13,49,40.13,10.87,39.02,0.49,2.11,94.93,11.23,0.14,0.03,92.34,6.44,15.52,17.15,16.2,9.53,33.39,,,,,,-1.023,0.766,,,53.0088,1.3409,12.4956,,,,,
13.41,,5.13,49.96,39.19,10.86,39.29,,,,,,,,8.22,18.14,18.21,14.79,8.11,32.68,19.33,5.39,10.21,38.33,26.74,-0.95,0.902,0.603636068,-0.601248358,53.9647,1.3268,12.6375,212.4,3.568,-0.615,1.234,355.9
13.46,,5.13,49.78,39.14,11.07,38.56,,,,,,,,8.77,17.02,17.32,13.73,7.96,35.64,,,,,,-1.102,0.802,0.528638764,-0.960906329,52.8177,1.0111,10.6615,,,,,
13.51,,5.13,51.1,36.07,12.83,36,,,,,,,,7.2,15.75,15.86,12.78,7.64,41.46,28.35,0.69,5.4,38.55,27.01,-1.156,0.524,0.547133862,-0.849410258,,,,167.4,4.757,-0.63,0.77,351.6
13.56,,5.13,48.07,39.99,11.94,38.84,0.42,2.05,94.36,11.17,0.17,0.03,91.61,9.02,18.78,17.9,13.85,6.99,33.46,,,,,,-1.201,0.173,,,51.8188,1.173,11.5097,,,,,
13.61,,5.13,52.1,35.33,12.57,38.59,,,,,,,,7.75,17.11,17.49,14.18,8.22,35.38,19.57,7.4,9.85,35.41,27.77,-1.425,0.423,0.766810328,-0.955774089,52.2552,1.0711,11.988,211.9,3.673,-0.606,1.086,355.2
13.66,,5.13,51.09,38.08,10.83,39.46,,,,,,,,9.6,18.25,16.94,12.8,7.38,35.4,,,,,,-1.022,0.521,0.602396639,-0.170532965,52.3593,0.959,12.8633,,,,,
13.71,,5.13,50.03,37.76,12.2,38.71,,,,,,,,11.04,18.18,17.56,13.11,6.87,32.93,16.63,1.18,6.56,38.51,37.12,-1.116,0.735,0.7587924,-0.781612815,53.1277,0.8899,11.6501,260.2,3.879,-0.543,2.146,416.5
13.76,,5.13,49.79,38.58,11.62,37.65,0.49,2.19,94.45,11.19,0.14,0.03,92.02,5.06,13.92,15.57,13.42,8.1,39.87,,,,,,-1.361,0.075,,,52.791,0.9823,12.4647,,,,,
13.81,,5.13,51.82,36.43,11.75,37.99,,,,,,,,6.96,16.34,16.09,14.27,8.72,37.47,23.61,8.78,12.42,32.57,22.62,-1.068,0.673,0.656697635,-1.037596461,53.6125,0.8708,12.2572,178.3,3.883,-0.549,0.918,293
13.86,,5.13,57.01,28.89,14.1,35.67,,,,,,,,6.73,12.21,12.11,11.62,7.18,50.28,,,,,,-1.543,0.829,0.429311066,-1.329424859,52.2499,0.8782,10.7004,,,,,
13.91,,5.13,51.36,37.26,11.38,38.08,,,,,,,,8.22,16.81,16.89,12.88,7.5,38.63,21.91,9.99,11.19,31.19,25.72,-1.232,0.7,0.873812452,-0.564388738,49.5048,0.821,11.7632,197.2,3.771,-0.522,0.937,311.4
13.96,,5.13,48.83,36.47,14.7,38.74,0.52,2.37,94.8,11.18,0.16,0.04,91.74,11.25,16.09,17.58,12.81,3.36,34.06,,,,,,-1.197,0.801,,,52.141,0.8493,12.6629,,,,,
14.01,,5.13,50.39,38.47,11.13,38.23,,,,,,,,8,16.58,16.25,14.06,8.88,37.37,20.01,7.88,11.27,33.07,27.77,-1.264,0.167,0.784640887,-0.463236983,51.7332,0.9233,9.0046,209.3,3.732,-0.548,1.049,335.6
14.06,,5.13,52.68,35.36,11.95,34.04,,,,,,,,6.71,11.65,10.89,10.24,7.43,53.63,,,,,,-1.794,0.894,0.461221576,-1.202283072,51.7903,1.1095,12.3826,,,,,
14.11,,5.13,50.72,38.55,10.73,35.47,,,,,,,,6.61,14.41,14.11,13.05,8.77,43.94,28.09,12.85,12.82,29.6,16.64,-1.341,0.632,0.493617149,-1.023781522,52.6777,1.1479,11.4001,147.7,3.873,-0.418,0.84,211.3
14.16,,5.13,48.97,39.84,11.2,39.84,0.51,2.15,94.33,11.09,0.12,0.02,91.39,7.39,17.47,18.01,14.11,6.45,31.45,,,,,,-1.323,0.302,,,61.065,0.8867,12.5431,,,,,
14.21,,5.13,46.08,42.12,11.8,39.17,,,,,,,,9.96,18.57,16.52,14.21,9.58,41.17,18.79,8.78,10.9,35.62,25.91,-1.715,0.666,0.734435391,-0.717536409,54.1638,0.9981,11.2433,214.1,3.493,-0.571,1.065,338.4
14.26,,5.13,48.44,39.29,12.27,38.59,,,,,,,,8.75,17.35,16.72,14.33,9.43,34.65,,,,,,-1.092,0.781,0.575523511,-0.97778923,52.8578,1.3788,12.5805,,,,,
14.31,,5.13,48.43,40.27,11.31,37.38,,,,,,,,8.02,16.82,10.32,13.91,9.04,37.66,21.16,0.49,5.42,36.51,36.42,-1.349,1.053,0.782444949,-0.740215475,51.3504,1.283,12.4109,207.1,4.528,-0.627,1.942,406.1
14.36,,5.13,48.54,41.09,10.37,39.97,0.56,2.15,95.16,11.12,0.16,0.03,91.27,7.96,17.84,15.45,14.36,1.02,43.36,,,,,,-0.961,0.455,,,52.7118,1.273,12.67,,,,,
14.41,,5.13,50.17,39.94,9.88,36.67,,,,,,,,7.49,16.1,16.66,15.19,10.6,35.79,34.61,1.81,3,44.34,16.24,-1.186,0.162,0.672523283,-0.964010125,51.8501,1.307,13.0426,133,4.802,-0.711,0.673,317.4
14.46,280.00,5.13,50.26,38.77,10.97,35.12,,,,,,,,,,,,,39.41,,,,,,-0.924,0.64,0.884800866,-0.615977345,52.6609,1.1244,12.0373,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
